Number,Player,ID_Position,School_Label,ID_Conference,ID_Race,ID_Class,Height,Height.Inches,Weight,ID_Eligibility,Formal_Stated_Major,Unknown_Undisclosed_Major,ID_Major_Type,CIPFamily,CIPFamilyTitle,CIPCode,CIPTitle,CIPDefinition,Hometown,City,ID_State.Provence.Country,Latitude,Longitude,High_School,Season,PlayerBio_URL
86,Arturo Martinez,DE,Notre Dame,IND,H,JR,"6'4""",76,250,,Accounting,FALSE,A,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52.0301,Accounting.,"A program that prepares individuals to practice the profession of accounting and to perform related business functions.  Includes instruction in accounting principles and theory, financial accounting, managerial accounting, cost accounting, budget control, tax accounting, legal aspects of accounting, auditing, reporting procedures, statement analysis, planning and consulting, business information systems, accounting research methods, professional standards and ethics, and applications to specific for-profit, public, and non-profit organizations.","Miami, FL",Miami,FL,25.7889689,-80.2264393,Belen Jesuit,2012-2013,http://www.und.com/sports/m-footbl/mtt/martinez_arturo00.html
87,Daniel Smith,WR,Notre Dame,IND,AA,JR,"6'4""",76,215,,Accounting,FALSE,A,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52.0301,Accounting.,"A program that prepares individuals to practice the profession of accounting and to perform related business functions.  Includes instruction in accounting principles and theory, financial accounting, managerial accounting, cost accounting, budget control, tax accounting, legal aspects of accounting, auditing, reporting procedures, statement analysis, planning and consulting, business information systems, accounting research methods, professional standards and ethics, and applications to specific for-profit, public, and non-profit organizations.","South Bend, IN",South Bend,IN,41.6763545,-86.2519898,Clay High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/smith_daniel00.html
53,Justin Utupo,DE,Notre Dame,IND,PI,JR,"6'1""",73,258,,Anthropology,FALSE,A,45,SOCIAL SCIENCES.,45.0201,Anthropology.,"A program that focuses on the systematic study of human beings, their antecedents and related primates, and their cultural behavior and institutions, in comparative perspective.  Includes instruction in biological/physical anthropology, primatology, human paleontology and prehistoric archeology, hominid evolution, anthropological linguistics, ethnography, ethnology, ethnohistory, socio-cultural anthropology, psychological anthropology, research methods, and applications to areas such as medicine, forensic pathology, museum studies, and international affairs.","Lakewood, CA",Lakewood,CA,33.8536269,-118.1339563,Lakewood High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/utupo_justin00.html
96,Kona Schwenke,NT,Notre Dame,IND,PI,JR,"6'4""",76,290,,Anthropology,FALSE,A,45,SOCIAL SCIENCES.,45.0201,Anthropology.,"A program that focuses on the systematic study of human beings, their antecedents and related primates, and their cultural behavior and institutions, in comparative perspective.  Includes instruction in biological/physical anthropology, primatology, human paleontology and prehistoric archeology, hominid evolution, anthropological linguistics, ethnography, ethnology, ethnohistory, socio-cultural anthropology, psychological anthropology, research methods, and applications to areas such as medicine, forensic pathology, museum studies, and international affairs.","Hauula, HI",Hauula,HI,21.612869,-157.924301,Kahuku High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/schwenke_kona00.html
44,Carlo Calabrese,LB,Notre Dame,IND,C,GR,"6'1""",73,245,,Design,FALSE,A,50,VISUAL AND PERFORMING ARTS.,50.0401,"Design and Visual Communications, General.","A program in the applied visual arts that focuses on the general principles and techniques for effectively communicating ideas and information, and packaging products, in digital and other formats to business and consumer audiences, and that may prepare individuals in any of the applied art media.","Verona, NJ",Verona,NJ,40.8298006,-74.2401609,Verona High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/calabrese_carlo00.html
88,Jake Golic,TE,Notre Dame,IND,C,GR,"6'4""",76,245,,Design,FALSE,A,50,VISUAL AND PERFORMING ARTS.,50.0401,"Design and Visual Communications, General.","A program in the applied visual arts that focuses on the general principles and techniques for effectively communicating ideas and information, and packaging products, in digital and other formats to business and consumer audiences, and that may prepare individuals in any of the applied art media.","West Hartford, CT",West Hartford,CT,41.7620842,-72.7420151,Northwest Catholic High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/golic_jake00.html
5,Manti Te'o,LB,Notre Dame,IND,PI,SR,"6'2""",74,255,,Design,FALSE,A,50,VISUAL AND PERFORMING ARTS.,50.0401,"Design and Visual Communications, General.","A program in the applied visual arts that focuses on the general principles and techniques for effectively communicating ideas and information, and packaging products, in digital and other formats to business and consumer audiences, and that may prepare individuals in any of the applied art media.","Laie, HI",Laie,HI,21.6486111,-157.9255556,Punahou School,2012-2013,http://www.und.com/sports/m-footbl/mtt/teo_manti00.html
20,Cierre Wood,RB,Notre Dame,IND,AA,SR,"6'1""",73,215,,"Film, Television & Theatre",FALSE,A,50,VISUAL AND PERFORMING ARTS.,50.0501,"Drama and Dramatics/Theatre Arts, General.","A program that focuses on the general study of dramatic works and their performance.  Includes instruction in major works of dramatic literature, dramatic styles and types, and the principles of organizing and producing full live or filmed productions.","Oxnard, CA",Oxnard,CA,34.1975048,-119.1770516,Santa Clara High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/wood_cierre00.html
8,Kendall Moore,LB,Notre Dame,IND,AA,JR,"6'1""",73,242,,"Film, Television & Theatre",FALSE,A,50,VISUAL AND PERFORMING ARTS.,50.0501,"Drama and Dramatics/Theatre Arts, General.","A program that focuses on the general study of dramatic works and their performance.  Includes instruction in major works of dramatic literature, dramatic styles and types, and the principles of organizing and producing full live or filmed productions.","Raleigh, NC",Raleigh,NC,35.772096,-78.6386145,Southeast Raleigh High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/moore_kendall00.html
23,Lo Wood,CB,Notre Dame,IND,AA,JR,"5'10""",70,195,,"Film, Television & Theatre",FALSE,A,50,VISUAL AND PERFORMING ARTS.,50.0501,"Drama and Dramatics/Theatre Arts, General.","A program that focuses on the general study of dramatic works and their performance.  Includes instruction in major works of dramatic literature, dramatic styles and types, and the principles of organizing and producing full live or filmed productions.","Apopka, FL",Apopka,FL,28.6805529,-81.5095165,Apopka High School,2012-2013,http://www.und.com/sports/m-footbl/mtt/wood_lo00.html
